seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
k141_34800||full	0.873	0.547	0.873	dsDNAphage	1072	0	66.700	0.000
k141_80240||full	0.787	1.000	1.000	ssDNA	1136	0	100.000	0.000
k141_80244||full	0.860	1.000	1.000	ssDNA	1692	0	100.000	0.000
k141_57440||full	0.620	0.967	0.967	ssDNA	822	0	33.300	0.000
k141_170936||full	0.507	0.793	0.793	ssDNA	927	0	50.000	0.000
k141_136897||full	0.833	0.013	0.833	dsDNAphage	2591	1	20.000	0.000
k141_23451||full	0.647	0.320	0.647	dsDNAphage	3793	0	50.000	0.000
k141_68836||full	0.440	0.867	0.867	ssDNA	1349	0	50.000	0.000
k141_114168||full	0.853	0.047	0.853	dsDNAphage	2725	2	40.000	60.000
k141_159657||full	0.700	0.247	0.700	dsDNAphage	1394	0	33.300	0.000
k141_125666||full	0.440	0.760	0.760	ssDNA	2071	0	33.300	0.000
k141_159690||full	0.993	1.000	1.000	ssDNA	1800	0	33.300	0.000
k141_114218||full	0.747	0.973	0.973	ssDNA	1845	0	33.300	0.000
k141_68889||full	0.980	0.453	0.980	dsDNAphage	2067	2	75.000	0.000
k141_12182||full	0.907	0.033	0.907	dsDNAphage	9844	0	25.000	5.000
k141_57539||full	0.560	0.100	0.560	dsDNAphage	3867	0	28.600	0.000
k141_136967||full	0.520	0.473	0.520	dsDNAphage	1335	0	50.000	0.000
k141_46232||full	0.320	0.993	0.993	ssDNA	1148	0	50.000	0.000
k141_136975||full	0.827	0.200	0.827	dsDNAphage	987	1	100.000	0.000
k141_125695||full	0.507	0.033	0.507	dsDNAphage	3342	0	20.000	0.000
k141_68921||full	0.573	0.967	0.967	ssDNA	1791	0	33.300	0.000
k141_23545||full	0.727	0.900	0.900	ssDNA	2335	0	40.000	0.000
k141_91621||full	0.313	0.847	0.847	ssDNA	1208	0	33.300	0.000
k141_125731||full	0.533	0.053	0.533	dsDNAphage	1473	0	33.300	0.000
k141_137024||full	0.420	0.813	0.813	ssDNA	1763	0	50.000	0.000
k141_993||full	0.993	1.000	1.000	ssDNA	1222	0	100.000	0.000
k141_103020||full	0.887	0.960	0.960	ssDNA	1424	0	33.300	0.000
k141_23640||full	0.547	0.087	0.547	dsDNAphage	1248	0	33.300	0.000
k141_46331||full	0.647	0.667	0.667	ssDNA	981	0	50.000	0.000
k141_103062||full	0.787	0.933	0.933	ssDNA	2792	0	50.000	0.000
k141_114389||full	0.707	0.960	0.960	ssDNA	1053	0	100.000	0.000
k141_171186||full	0.907	0.993	0.993	ssDNA	1531	0	75.000	0.000
k141_80547||full	0.433	0.927	0.927	ssDNA	972	0	50.000	0.000
k141_137156||full	0.580	0.113	0.580	dsDNAphage	1177	0	33.300	0.000
k141_103128||full	0.787	0.967	0.967	ssDNA	968	0	33.300	0.000
k141_57760||full	0.867	0.913	0.913	ssDNA	979	0	100.000	0.000
k141_125900||full	0.620	0.053	0.620	dsDNAphage	1040	0	66.700	33.300
k141_137187||full	0.500	0.780	0.780	ssDNA	1130	0	25.000	0.000
k141_57768||full	0.700	0.907	0.907	ssDNA	1253	0	33.300	0.000
k141_148550||full	0.580	0.100	0.580	dsDNAphage	2198	0	25.000	0.000
k141_23768||full	0.487	0.660	0.660	ssDNA	1107	0	50.000	0.000
k141_91799||full	0.807	0.140	0.807	dsDNAphage	1314	0	50.000	0.000
k141_12411||full	0.620	0.567	0.620	dsDNAphage	1614	0	100.000	0.000
k141_103175||full	0.533	0.987	0.987	ssDNA	4217	0	100.000	0.000
k141_171259||full	0.507	0.127	0.507	dsDNAphage	1506	0	33.300	0.000
k141_80612||full	0.393	0.520	0.520	ssDNA	2788	0	25.000	0.000
k141_125946||full	0.880	0.213	0.880	dsDNAphage	1264	1	33.300	0.000
k141_137247||full	0.673	0.853	0.853	ssDNA	1253	0	25.000	0.000
k141_103215||full	0.713	0.940	0.940	ssDNA	1096	0	50.000	0.000
k141_57847||full	0.833	0.393	0.833	dsDNAphage	1779	0	66.700	0.000
k141_91878||full	0.587	0.913	0.913	ssDNA	1014	0	50.000	0.000
k141_1231||full	0.767	0.993	0.993	ssDNA	2277	0	66.700	0.000
k141_12502||full	0.413	0.607	0.607	ssDNA	2673	0	25.000	0.000
k141_57890||full	0.793	0.120	0.793	dsDNAphage	981	0	33.300	0.000
k141_91909||full	0.507	0.073	0.507	dsDNAphage	2918	0	33.300	0.000
k141_148664||full	0.740	0.960	0.960	ssDNA	1312	0	50.000	0.000
k141_57893||full	0.820	0.960	0.960	ssDNA	1874	0	25.000	0.000
k141_1258||full	0.973	0.993	0.993	ssDNA	1276	0	100.000	0.000
k141_12543||full	0.940	0.420	0.940	dsDNAphage	1024	0	100.000	0.000
k141_137328||full	0.847	0.987	0.987	ssDNA	1085	0	33.300	0.000
k141_80717||full	0.900	0.447	0.900	dsDNAphage	1949	0	100.000	0.000
k141_35259||full	0.887	0.073	0.887	dsDNAphage	5217	0	42.900	14.300
k141_160090||full	0.633	0.767	0.767	ssDNA	4985	0	25.000	0.000
k141_46622||full	0.947	0.760	0.947	dsDNAphage	832	0	50.000	0.000
k141_91988||full	0.260	0.853	0.853	ssDNA	1800	0	33.300	0.000
k141_23884||full	0.540	0.840	0.840	ssDNA	2137	0	25.000	0.000
k141_23889||full	0.713	0.387	0.713	dsDNAphage	848	0	50.000	0.000
k141_91998||full	0.740	0.073	0.740	dsDNAphage	4128	0	37.500	0.000
k141_35319||full	0.673	0.653	0.673	dsDNAphage	1542	0	33.300	0.000
k141_171458||full	0.813	0.987	0.987	ssDNA	1394	0	66.700	0.000
k141_58008||full	0.853	0.967	0.967	ssDNA	647	0	50.000	0.000
k141_92062||full	0.993	0.987	0.993	dsDNAphage	2762	3	100.000	0.000
k141_114702||full	0.767	0.313	0.767	dsDNAphage	1006	0	33.300	0.000
k141_12697||full	0.680	0.207	0.680	dsDNAphage	1314	0	25.000	0.000
k141_92091||full	0.787	0.987	0.987	ssDNA	834	0	100.000	0.000
k141_171530||full	0.913	1.000	1.000	ssDNA	2089	0	50.000	0.000
k141_171537||full	0.893	0.967	0.967	ssDNA	1008	0	66.700	0.000
k141_148857||full	0.900	0.380	0.900	dsDNAphage	1074	0	25.000	0.000
k141_69401||full	0.500	0.800	0.800	ssDNA	3146	0	20.000	0.000
k141_92113||full	0.633	0.660	0.660	ssDNA	922	0	50.000	0.000
k141_1460||full	0.560	0.093	0.560	dsDNAphage	1557	0	66.700	33.300
k141_126255||full	0.773	0.540	0.773	dsDNAphage	1052	0	100.000	0.000
k141_69425||full	0.547	0.300	0.547	dsDNAphage	1394	0	33.300	0.000
k141_1473||full	0.520	0.220	0.520	dsDNAphage	1220	0	50.000	0.000
k141_114756||full	0.947	0.167	0.947	dsDNAphage	4025	1	33.300	0.000
k141_126291||full	0.580	0.093	0.580	dsDNAphage	1085	0	33.300	0.000
k141_137543||full	0.507	0.100	0.507	dsDNAphage	2886	0	50.000	0.000
k141_1520||full	0.547	1.000	1.000	ssDNA	1415	0	50.000	0.000
k141_69486||full	0.860	0.867	0.867	ssDNA	3557	0	50.000	0.000
k141_92196||full	0.887	0.993	0.993	ssDNA	1275	0	100.000	0.000
k141_1549||full	0.727	0.093	0.727	dsDNAphage	1529	0	20.000	0.000
k141_12852||full	0.860	0.993	0.993	ssDNA	1366	0	50.000	0.000
k141_171637||full	0.860	0.933	0.933	ssDNA	1061	0	66.700	0.000
k141_24123||full	0.773	0.260	0.773	dsDNAphage	2935	0	33.300	0.000
k141_92242||full	0.513	0.080	0.513	dsDNAphage	1087	0	33.300	0.000
k141_35490||full	0.947	0.987	0.987	ssDNA	1787	0	100.000	0.000
k141_103595||full	0.587	0.493	0.587	dsDNAphage	1487	0	50.000	0.000
k141_126363||full	0.520	0.080	0.520	dsDNAphage	1618	0	33.300	0.000
k141_171663||full	0.567	0.880	0.880	ssDNA	1812	0	33.300	0.000
k141_80996||full	0.413	0.613	0.613	ssDNA	932	0	50.000	0.000
k141_160405||full	0.640	0.247	0.640	dsDNAphage	1965	0	33.300	0.000
k141_1633||full	0.967	0.960	0.967	dsDNAphage	1407	2	100.000	0.000
k141_12916||full	0.407	0.787	0.787	ssDNA	1221	0	33.300	0.000
k141_171693||full	0.660	0.547	0.660	dsDNAphage	1007	0	33.300	0.000
k141_12918||full	0.953	1.000	1.000	ssDNA	1866	0	75.000	0.000
k141_92293||full	0.580	0.993	0.993	ssDNA	1187	0	50.000	0.000
k141_46953||full	0.480	0.907	0.907	ssDNA	1448	0	33.300	0.000
k141_1647||full	1.000	0.547	1.000	dsDNAphage	3601	7	100.000	0.000
k141_46965||full	0.993	0.940	0.993	dsDNAphage	1349	1	100.000	0.000
k141_103685||full	0.500	1.000	1.000	ssDNA	1118	0	50.000	0.000
k141_69617||full	0.720	0.373	0.720	dsDNAphage	938	0	50.000	0.000
k141_103692||full	0.753	0.660	0.753	dsDNAphage	1575	0	50.000	0.000
k141_24204||full	0.853	0.767	0.853	dsDNAphage	3227	0	20.000	0.000
k141_160471||full	0.873	0.627	0.873	dsDNAphage	1085	0	33.300	0.000
k141_81077||full	0.767	0.960	0.960	ssDNA	1491	0	33.300	0.000
k141_12981||full	0.987	0.893	0.987	dsDNAphage	1903	2	66.700	0.000
k141_13002||full	0.987	0.993	0.993	ssDNA	1574	0	75.000	0.000
k141_81107||full	0.833	0.747	0.833	dsDNAphage	1646	0	20.000	0.000
k141_24242||full	0.600	0.920	0.920	ssDNA	1368	0	33.300	0.000
k141_47022||full	0.553	0.427	0.553	dsDNAphage	3080	0	66.700	0.000
k141_149139||full	0.467	1.000	1.000	ssDNA	948	0	50.000	0.000
k141_69688||full	0.507	0.267	0.507	dsDNAphage	955	0	33.300	0.000
k141_13049||full	0.733	0.987	0.987	ssDNA	994	0	50.000	0.000
k141_126536||full	0.580	0.413	0.580	dsDNAphage	1391	0	50.000	0.000
k141_160535||full	0.747	1.000	1.000	ssDNA	2061	0	66.700	0.000
k141_171863||full	0.647	0.213	0.647	dsDNAphage	1710	0	60.000	0.000
k141_69716||full	0.980	1.000	1.000	ssDNA	1564	0	60.000	0.000
k141_47082||full	0.553	0.627	0.627	ssDNA	1769	0	25.000	0.000
k141_149204||full	0.800	1.000	1.000	ssDNA	1091	0	33.300	0.000
k141_24307||full	0.713	0.533	0.713	dsDNAphage	2817	0	25.000	0.000
k141_58467||full	0.780	0.647	0.780	dsDNAphage	2222	0	25.000	0.000
k141_1810||full	0.440	0.927	0.927	ssDNA	1236	0	50.000	0.000
k141_69754||full	0.800	0.693	0.800	dsDNAphage	1549	0	25.000	0.000
k141_92490||full	0.540	0.273	0.540	dsDNAphage	1703	0	50.000	0.000
k141_35689||full	0.700	0.453	0.700	dsDNAphage	1143	0	66.700	0.000
k141_35694||full	0.633	0.173	0.633	dsDNAphage	2095	0	60.000	20.000
k141_115128||full	0.573	0.473	0.573	dsDNAphage	1142	0	33.300	0.000
k141_47136||full	0.953	0.933	0.953	dsDNAphage	1923	5	100.000	0.000
k141_35705||full	0.820	0.953	0.953	ssDNA	1502	0	66.700	0.000
k141_126630||full	0.913	0.993	0.993	ssDNA	2038	0	66.700	0.000
k141_115146||full	0.400	0.613	0.613	ssDNA	2750	0	50.000	0.000
k141_58536||full	0.587	0.353	0.587	dsDNAphage	2680	0	66.700	0.000
k141_47170||full	0.660	0.233	0.660	dsDNAphage	2539	0	66.700	0.000
k141_1872||full	0.553	0.367	0.553	dsDNAphage	1256	0	66.700	33.300
k141_160653||full	0.507	0.280	0.507	dsDNAphage	1157	0	50.000	0.000
k141_24403||full	0.407	0.987	0.987	ssDNA	1323	0	33.300	0.000
k141_69815||full	0.620	0.220	0.620	dsDNAphage	1625	0	50.000	25.000
k141_13180||full	1.000	0.993	1.000	dsDNAphage	1120	2	100.000	0.000
k141_115203||full	0.947	0.967	0.967	ssDNA	1580	0	66.700	0.000
k141_92599||full	0.513	0.227	0.513	dsDNAphage	2822	0	50.000	0.000
k141_126720||full	0.507	0.267	0.507	dsDNAphage	1100	0	33.300	0.000
k141_103938||full	0.933	0.993	0.993	ssDNA	1244	0	66.700	0.000
k141_47214||full	0.967	0.253	0.967	dsDNAphage	14163	4	47.600	0.000
k141_137935||full	0.593	0.060	0.593	dsDNAphage	2067	1	50.000	0.000
k141_58674||full	0.607	0.213	0.607	dsDNAphage	1659	0	33.300	0.000
k141_47255||full	0.833	0.573	0.833	dsDNAphage	2111	0	16.700	0.000
k141_126789||full	0.693	0.960	0.960	ssDNA	1512	0	66.700	0.000
k141_137982||full	0.640	0.927	0.927	ssDNA	1943	0	25.000	0.000
k141_160780||full	0.947	0.467	0.947	dsDNAphage	1881	0	20.000	0.000
k141_69945||full	0.820	0.987	0.987	ssDNA	1052	0	66.700	0.000
k141_35862||full	0.653	0.147	0.653	dsDNAphage	1643	0	25.000	0.000
k141_47275||full	0.813	0.967	0.967	ssDNA	819	0	50.000	0.000
k141_35872||full	0.327	0.827	0.827	ssDNA	1017	0	50.000	0.000
k141_149423||full	0.887	1.000	1.000	ssDNA	1014	0	100.000	0.000
k141_149429||full	0.740	0.867	0.867	ssDNA	3339	0	50.000	0.000
k141_2036||full	0.567	0.293	0.567	dsDNAphage	1121	0	50.000	0.000
k141_172112||full	0.920	1.000	1.000	ssDNA	888	0	50.000	0.000
k141_160847||full	0.500	0.660	0.660	ssDNA	1417	0	50.000	0.000
k141_160848||full	0.620	0.433	0.620	dsDNAphage	896	0	50.000	0.000
k141_92733||full	0.833	0.947	0.947	ssDNA	2259	0	66.700	0.000
k141_126883||full	0.720	0.773	0.773	ssDNA	1068	0	33.300	0.000
k141_2088||full	0.907	0.973	0.973	ssDNA	1638	0	66.700	0.000
k141_35941||full	0.887	1.000	1.000	ssDNA	3501	0	66.700	0.000
k141_58799||full	0.947	1.000	1.000	ssDNA	960	0	100.000	0.000
k141_35967||full	0.593	0.813	0.813	ssDNA	1644	0	66.700	0.000
k141_24596||full	0.400	0.960	0.960	ssDNA	1656	0	25.000	0.000
k141_13404||full	0.800	0.960	0.960	ssDNA	1121	0	33.300	0.000
k141_13408||full	0.933	0.467	0.933	dsDNAphage	1133	0	66.700	0.000
k141_126923||full	0.600	0.413	0.600	dsDNAphage	1039	0	50.000	0.000
k141_126930||full	0.527	0.140	0.527	dsDNAphage	1015	0	25.000	0.000
k141_36006||full	0.927	1.000	1.000	ssDNA	1643	0	66.700	0.000
k141_70079||full	0.747	0.453	0.747	dsDNAphage	1365	0	100.000	0.000
k141_47477||full	0.933	0.967	0.967	ssDNA	2059	0	66.700	0.000
k141_172287||full	0.500	0.807	0.807	ssDNA	1325	0	50.000	0.000
k141_138151||full	0.913	0.987	0.987	ssDNA	1518	0	66.700	0.000
k141_58879||full	0.840	0.313	0.840	dsDNAphage	4555	0	16.700	0.000
k141_149647||full	0.347	0.747	0.747	ssDNA	1352	0	33.300	0.000
k141_115524||full	0.627	0.987	0.987	ssDNA	2436	0	25.000	0.000
k141_92861||full	0.560	0.973	0.973	ssDNA	1111	0	33.300	0.000
k141_149671||full	0.920	1.000	1.000	ssDNA	1070	0	50.000	0.000
k141_47550||full	0.840	0.847	0.847	ssDNA	2086	0	66.700	0.000
k141_161073||full	0.727	0.740	0.740	ssDNA	1343	0	25.000	0.000
k141_149687||full	0.567	0.840	0.840	ssDNA	1205	0	50.000	0.000
k141_13559||full	0.613	0.167	0.613	dsDNAphage	2115	0	33.300	0.000
k141_24760||full	0.553	0.220	0.553	dsDNAphage	1000	0	50.000	0.000
k141_161088||full	0.553	0.007	0.553	dsDNAphage	3499	0	42.900	14.300
k141_58952||full	0.967	0.967	0.967	dsDNAphage	684	0	100.000	0.000
k141_138222||full	0.933	0.833	0.933	dsDNAphage	1018	1	66.700	0.000
k141_149720||full	0.987	0.753	0.987	dsDNAphage	2355	1	40.000	0.000
k141_58964||full	0.660	0.053	0.660	dsDNAphage	1763	0	25.000	0.000
k141_127080||full	0.953	0.993	0.993	ssDNA	2121	0	40.000	0.000
k141_47579||full	0.653	0.940	0.940	ssDNA	1051	0	50.000	0.000
k141_36107||full	0.547	0.020	0.547	dsDNAphage	3541	0	20.000	0.000
k141_13604||full	0.867	1.000	1.000	ssDNA	1982	0	100.000	0.000
k141_127101||full	0.607	0.853	0.853	ssDNA	1492	0	50.000	0.000
k141_81659||full	0.707	0.693	0.707	dsDNAphage	1320	0	33.300	0.000
k141_36140||full	0.373	0.880	0.880	ssDNA	1758	0	50.000	0.000
k141_24832||full	0.807	0.953	0.953	ssDNA	1246	0	50.000	0.000
k141_81686||full	0.980	0.613	0.980	dsDNAphage	2683	1	25.000	0.000
k141_115647||full	0.673	0.147	0.673	dsDNAphage	1124	0	25.000	0.000
k141_172469||full	0.900	0.993	0.993	ssDNA	1437	0	33.300	0.000
k141_172477||full	1.000	1.000	1.000	dsDNAphage	1990	3	100.000	0.000
k141_127179||full	0.160	0.807	0.807	ssDNA	1364	0	50.000	0.000
k141_115692||full	0.987	0.773	0.987	dsDNAphage	746	0	100.000	0.000
k141_104393||full	0.980	0.700	0.980	dsDNAphage	1235	1	33.300	0.000
k141_115698||full	1.000	0.960	1.000	dsDNAphage	888	3	100.000	0.000
k141_81739||full	0.607	0.280	0.607	dsDNAphage	1324	0	33.300	0.000
k141_104397||full	0.913	0.407	0.913	dsDNAphage	1164	0	50.000	0.000
k141_36211||full	0.447	0.527	0.527	ssDNA	1046	0	50.000	0.000
k141_24902||full	0.140	0.987	0.987	ssDNA	1168	0	50.000	0.000
k141_93062||full	0.900	0.960	0.960	ssDNA	1240	0	33.300	0.000
k141_127201||full	0.827	0.347	0.827	dsDNAphage	1241	1	50.000	0.000
k141_172502||full	0.507	0.120	0.507	dsDNAphage	1552	0	50.000	0.000
k141_81770||full	0.767	0.067	0.767	dsDNAphage	2006	1	40.000	20.000
k141_59101||full	0.580	0.073	0.580	dsDNAphage	1697	0	50.000	25.000
k141_104441||full	0.560	0.027	0.560	dsDNAphage	4113	0	33.300	16.700
k141_127232||full	0.833	1.000	1.000	ssDNA	1972	0	66.700	0.000
k141_93099||full	0.833	0.367	0.833	dsDNAphage	1223	1	50.000	0.000
k141_149883||full	0.787	0.493	0.787	dsDNAphage	1832	0	25.000	0.000
k141_93111||full	0.993	0.913	0.993	dsDNAphage	1119	0	40.000	0.000
k141_138389||full	0.660	0.340	0.660	dsDNAphage	1096	0	33.300	0.000
k141_81811||full	0.613	0.293	0.613	dsDNAphage	1006	0	33.300	0.000
k141_161270||full	0.707	0.113	0.707	dsDNAphage	1670	0	33.300	0.000
k141_104486||full	0.973	0.967	0.973	dsDNAphage	1020	1	66.700	0.000
k141_138437||full	0.547	0.927	0.927	ssDNA	1059	0	100.000	0.000
k141_13821||full	0.553	0.080	0.553	dsDNAphage	1168	0	33.300	0.000
k141_127320||full	0.980	0.940	0.980	dsDNAphage	1169	0	40.000	0.000
k141_149927||full	0.253	1.000	1.000	ssDNA	1076	0	50.000	0.000
k141_25028||full	0.773	1.000	1.000	ssDNA	1422	0	66.700	0.000
k141_70421||full	0.993	0.947	0.993	dsDNAphage	1020	0	100.000	0.000
k141_161305||full	0.973	0.880	0.973	dsDNAphage	3081	2	77.800	0.000
k141_93195||full	0.667	0.187	0.667	dsDNAphage	899	0	50.000	0.000
k141_36356||full	1.000	0.687	1.000	dsDNAphage	3071	0	66.700	0.000
k141_36360||full	0.540	0.107	0.540	dsDNAphage	3287	0	25.000	0.000
k141_47798||full	0.980	0.873	0.980	dsDNAphage	3543	0	57.100	0.000
k141_59225||full	0.927	1.000	1.000	ssDNA	1040	0	100.000	0.000
k141_70469||full	0.340	0.927	0.927	ssDNA	1246	0	33.300	0.000
k141_93238||full	0.613	1.000	1.000	ssDNA	1179	0	50.000	0.000
k141_115849||full	0.727	0.093	0.727	dsDNAphage	5452	0	10.000	0.000
k141_161377||full	0.367	0.987	0.987	ssDNA	1181	0	50.000	0.000
k141_93259||full	0.527	0.027	0.527	dsDNAphage	1856	0	25.000	0.000
k141_172663||full	0.487	0.887	0.887	ssDNA	1310	0	25.000	0.000
k141_2458||full	0.727	0.133	0.727	dsDNAphage	1824	0	33.300	0.000
k141_81968||full	0.413	0.993	0.993	ssDNA	2339	0	50.000	0.000
k141_2475||full	0.680	0.967	0.967	ssDNA	2352	0	50.000	0.000
